"Category","Description","Nutrient_Data_Bank_Number","Alpha_Carotene","Beta_Carotene","Beta_Cryptoxanthin","Carbohydrate","Cholesterol","Choline","Fiber","Lutein_and_Zeaxanthin","Lycopene","Niacin","Protein","Retinol","Riboflavin","Selenium","Sugar_Total","Thiamin","Water","Fat.Monosaturated_Fat","Fat.Polysaturated_Fat","Fat.Saturated_Fat","Fat.Total_Lipid","Major_Minerals.Calcium","Major_Minerals.Copper","Major_Minerals.Iron","Major_Minerals.Magnesium","Major_Minerals.Phosphorus","Major_Minerals.Potassium","Major_Minerals.Sodium","Major_Minerals.Zinc","Vitamins.Vitamin_A_RAE","Vitamins.Vitamin_B12","Vitamins.Vitamin_B6","Vitamins.Vitamin_C","Vitamins.Vitamin_E","Vitamins.Vitamin_K"
"Cereal (Kellogg's Smart Start Strong)","Cereal (Kellogg's Smart Start Strong)","57341200",0,150,0,86.8,0,14.9,5.4,80,0,40,7.5,675,3.4,28.7,27.79,3,2.5,0.1,0.5,0.3,1.5,29,0.263,36,29,131,182,398,30,688,12,4,30,27,1.1
"Cereal (General Mills Wheaties)","Cereal (General Mills Wheaties)","57418000",0,4,0,83.3,0,32.9,10.1,178,0,37,8.3,553,3.1,4.7,15.2,2.8,2.6,0.4,1.2,0.5,2.3,74,0.267,33.3,89,296,328,732,27.8,554,11.1,3.704,22.2,0.64,1.7
"Cereal (Kellogg's All-Bran Complete Wheat Flakes)","Cereal (Kellogg's All-Bran Complete Wheat Flakes)","57208000",0,0,0,81.6,0,35,17.3,159,0,69,10.2,776,5.86,10.5,18.8,5.17,2.5,0.4,1.3,0.4,2.5,39,0.5,62.1,138,517,518,718,51.7,776,21,6.9,207,46.35,1.4
"Cereal (Kellogg's All-Bran)","Cereal (Kellogg's All-Bran)","57101000",0,4,0,74.24,0,49.4,29.3,192,0,14.8,13.14,522,2.71,9.4,15.69,2.27,2.12,0.89,2,1.1,4.9,389,1.04,17.6,362,1150,1020,258,12.4,522,18.8,12,20,1.19,5.2
"Nutritional powder mix","Nutritional powder mix, sugar free (Slim Fast)","95210010",0,1,0,73.92,5,3.4,18.1,0,0,38.462,8.13,1034,0.654,67.3,38.02,1.442,1.99,10.51,1.19,1.45,13.34,364,0.769,0.68,385,385,247,472,17.31,1034,8.08,2.308,1.3,51.92,96.2
"Nutrition bar (PowerBar)","Nutrition bar (PowerBar)","53720300",0,0,0,69.63,0,18.4,5.7,0,0,32.6,14.15,0,1.92,7.8,30.07,8.06,9.83,1.05,0.589,1.32,3.11,504,1.43,11.7,248,614,362,308,9.96,0,5.6,2.2,92.3,8.28,1.1
"Nutrition bar (Slim Fast Original Meal Bar)","Nutrition bar (Slim Fast Original Meal Bar)","53720400",0,0,0,60.21,7,40.6,5.1,0,0,21.2,16.19,940,1.9,46.7,25,1.7,10.87,2.428,1.132,5.36,8.92,668,0.284,4.98,250,673,289,253,5.73,940,7.9,2.1,96.6,6,129.3
"Nutrition bar (Snickers Marathon Protein Bar)","Nutrition bar (Snickers Marathon Protein Bar)","53720500",0,10,0,50.5,6,1.7,12.5,0,0,25,25,651,2.125,3.9,28.75,1.875,9,2.645,2.892,6.25,12.5,625,0.977,10.13,175,375,188,238,6.56,652,7.5,2.5,75,16.88,10.4
"Nutritional powder mix","Nutritional powder mix, high protein (Slim Fast)","95210020",0,1,0,50,6,3.4,18.2,0,0,38.442,27.87,865,0.654,67.5,20.59,1.499,5.4,8.93,1.049,1.333,13.46,1039,0.769,24.84,473,563,752,495,17.29,865,8.07,2.307,103.8,51.92,0.1
"Vegetable mixture","Vegetable mixture, dried","75365000",3477,9994,235,47.79,0,87.1,18.7,3708,2426,6.568,17.37,0,0.61,13,19.81,0.515,20.23,1.586,5.304,1.194,8.82,234,0.692,6.06,150,399,1607,360,3.27,988,0,0.92,177.8,5.95,222.7
"Nutritional powder mix","Nutritional powder mix, sugar free (Carnation Instant Breakfast)","95201010",0,5,0,41,44,266.9,2,0,0,25.6,35.8,2686,0.35,21.8,39,1.5,7.4,1.189,1.027,2.162,5.1,500,2.6,2.3,410,500,1705,717,15.4,2686,3.1,2,138,16.88,120
"Nutritional powder mix","Nutritional powder mix, light (Muscle Milk)","95202010",0,0,0,22,10,81.6,2,0,0,14,50,1050,1.2,33.8,4,1,12,8.474,1.239,1.087,12,1200,1.4,12,280,700,840,250,10,1050,4.2,1.4,42,9.45,0.5
"Nutritional powder mix","Nutritional powder mix, protein, light, NFS","95230020",0,0,0,22,10,81.6,2,0,0,14,50,1050,1.2,33.8,4,1,12,8.474,1.239,1.087,12,1200,1.4,12,280,700,840,250,10,1050,4.2,1.4,42,9.45,0.5
"Yeast extract spread","Yeast extract spread","75236500",0,0,0,20.42,0,65.1,6.5,0,0,127.5,23.88,0,17.5,27.6,1.6,23.375,40.9,0,0,0,0.9,67,0.245,4.04,180,104,2100,3380,4.19,0,0.5,0,0,0,0
"Nutritional powder mix","Nutritional powder mix, high protein (Herbalife)","95201500",0,0,0,20.38,0,179.7,0,0,0,25,53.57,1875,2.125,87.5,3.57,2.143,8.3,2.907,7.268,0,10.71,714,2.5,22.5,500,1429,1000,1214,18.75,1875,6.43,2.5,75,16.88,125
"Nutritional powder mix","Nutritional powder mix, high protein, NFS","95220010",0,0,0,20.38,0,179.7,0,0,0,25,53.57,1875,2.125,87.5,3.57,2.143,8.3,2.907,7.268,0,10.71,714,2.5,22.5,500,1429,1000,1214,18.75,1875,6.43,2.5,75,16.88,125
"Peanut butter","Peanut butter, vitamin and mineral fortified","42202200",0,0,0,18.75,0,63.3,5.6,0,0,13.369,25.72,1172,0.105,7.5,10.47,0.083,1.47,24.832,13.847,10.125,50.81,43,1.64,16.6,355,368,667,420,14.4,1172,0,2.23,0,43.2,0.6
"Liver dumpling","Liver dumpling","27260510",7,256,9,12.78,335,329.4,0.7,199,0,12.1,23.11,6233,2.35,33.7,0.91,0.211,45.43,6.207,4.247,4.484,15.48,48,9.301,5.33,23,384,299,716,3.86,6255,45.89,0.71,2.7,1.67,40.6
"Fruit juice drink","Fruit juice drink, with high vitamin C, plus added calcium","92582100",0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,12.5,0,87.49,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,30,0,0
"Beef liver","Beef liver, fried","25110140",11,180,21,5.12,378,414.7,0,0,0,17.329,26.3,7664,3.396,32.5,0,0.176,61.5,1.097,1.012,2.509,4.64,6,14.466,6.12,22,481,348,399,5.19,7679,82.44,1.018,0.7,0.46,3.9
"Beef liver","Beef liver, braised","25110120",11,161,11,5.09,393,422.5,0,0,0,17.379,28.84,9349,3.396,35.8,0,0.192,58.32,1.115,1.1,2.922,5.22,6,14.164,6.49,21,493,349,401,5.26,9363,69.99,1.009,1.9,0.51,3.3
"Tea","Tea, iced, bottled, black, unsweetened","92309040",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.89,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Water","Water, baby, bottled, unsweetened","94300100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
